claim_id,claim_amount,claim_type,customer_tenure,claims_last_12m,avg_hist_claim,provider_id,geography,submission_delay,previously_rejected_claims,deviation_from_peer_claims,is_fraud
CLM_10000,8183.89,Property,103,1,3093.76,PRV_121,Urban,30,0,5090.13,0
CLM_10001,3547.49,Auto,52,1,3921.95,PRV_114,Rural,0,0,-374.46,0
CLM_10002,4618.75,Health,93,0,2070.23,PRV_136,Rural,10,0,2548.52,0
CLM_10003,10988.92,Property,15,0,3740.58,PRV_114,Rural,32,0,7248.33,0
CLM_10004,6769.13,Auto,107,0,3334.9,PRV_149,Rural,9,0,3434.23,0
CLM_10005,2475.45,Auto,72,0,2666.33,PRV_149,Rural,15,0,-190.88,0
CLM_10006,6970.78,Health,61,0,2331.79,PRV_124,Urban,1,0,4638.99,1
CLM_10007,1637.22,Auto,21,2,899.17,PRV_120,Urban,2,0,738.05,0
CLM_10008,7591.74,Auto,103,1,2919.73,PRV_137,Rural,4,0,4672.01,1
CLM_10009,2330.24,Auto,83,0,2668.0,PRV_101,Rural,39,1,-337.76,0
CLM_10010,7879.6,Auto,87,3,3639.13,PRV_126,Urban,15,1,4240.46,0
CLM_10011,9841.1,Property,75,0,3538.0,PRV_148,Suburban,21,0,6303.1,0
CLM_10012,7448.5,Health,75,1,4070.12,PRV_131,Urban,6,0,3378.38,0
CLM_10013,5016.99,Auto,88,0,4106.73,PRV_120,Urban,12,0,910.26,0
CLM_10014,5038.64,Auto,117,1,6155.54,PRV_103,Urban,13,0,-1116.89,0
CLM_10015,4356.45,Auto,100,0,3513.66,PRV_143,Urban,8,0,842.79,0
CLM_10016,2967.98,Auto,104,0,2139.53,PRV_118,Urban,21,0,828.45,0
CLM_10017,8704.16,Auto,24,0,3826.19,PRV_101,Suburban,1,0,4877.97,0
CLM_10018,4359.73,Auto,3,0,4605.9,PRV_125,Rural,0,0,-246.17,0
CLM_10019,2659.21,Auto,22,1,3474.9,PRV_133,Rural,3,0,-815.69,0
CLM_10020,1284.97,Health,53,1,875.71,PRV_113,Suburban,0,0,409.26,0
CLM_10021,5854.38,Auto,2,1,3555.36,PRV_114,Rural,0,0,2299.02,1
CLM_10022,4908.45,Health,88,0,2370.13,PRV_119,Rural,5,0,2538.32,0
CLM_10023,3807.26,Health,108,0,1678.07,PRV_133,Rural,2,0,2129.19,0
CLM_10024,8677.97,Health,30,0,3186.69,PRV_135,Suburban,15,0,5491.28,1
CLM_10025,1802.02,Health,38,1,1474.19,PRV_118,Suburban,8,1,327.84,0
CLM_10026,7328.24,Health,2,1,4023.15,PRV_108,Rural,4,0,3305.09,1
CLM_10027,5279.57,Property,64,1,3730.88,PRV_106,Rural,3,0,1548.69,0
CLM_10028,1467.02,Health,60,0,2913.33,PRV_129,Rural,8,0,-1446.31,0
CLM_10029,4773.87,Health,21,3,2449.92,PRV_112,Urban,5,0,2323.95,0
CLM_10030,7150.95,Property,33,3,2815.9,PRV_126,Urban,0,1,4335.05,1
CLM_10031,1175.75,Health,76,3,1989.08,PRV_143,Urban,10,0,-813.34,0
CLM_10032,1486.99,Auto,58,1,2922.96,PRV_134,Suburban,6,0,-1435.96,0
CLM_10033,1159.77,Auto,22,0,500.0,PRV_112,Rural,3,0,659.77,0
CLM_10034,6824.97,Auto,108,3,3088.71,PRV_114,Suburban,3,0,3736.26,0
CLM_10035,4716.89,Property,89,0,3114.22,PRV_145,Suburban,6,0,1602.67,0
CLM_10036,8282.5,Health,49,1,3845.15,PRV_108,Suburban,17,0,4437.35,1
CLM_10037,9514.89,Property,91,1,3299.81,PRV_144,Rural,5,0,6215.08,1
CLM_10038,4453.25,Health,59,0,3977.33,PRV_122,Urban,18,0,475.92,0
CLM_10039,3954.29,Auto,42,0,3547.03,PRV_135,Rural,5,0,407.26,0
CLM_10040,3897.59,Auto,92,0,4036.52,PRV_139,Rural,17,0,-138.94,0
CLM_10041,12985.31,Health,60,1,5621.43,PRV_102,Suburban,26,0,7363.88,1
CLM_10042,4729.79,Health,80,0,3420.02,PRV_133,Suburban,0,0,1309.77,0
CLM_10043,9462.07,Property,15,1,3184.02,PRV_118,Suburban,0,1,6278.04,0
CLM_10044,9574.2,Auto,62,0,4187.05,PRV_127,Urban,1,0,5387.15,1
CLM_10045,3591.17,Health,62,1,2531.77,PRV_122,Urban,1,0,1059.4,1
CLM_10046,2514.85,Health,47,0,2880.81,PRV_139,Urban,6,0,-365.96,0
CLM_10047,6773.78,Health,62,0,3420.99,PRV_148,Rural,14,0,3352.79,0
CLM_10048,3801.37,Health,51,1,3072.42,PRV_144,Suburban,32,0,728.96,0
CLM_10049,8479.02,Health,108,0,3067.91,PRV_106,Rural,5,1,5411.1,1
CLM_10050,6253.34,Auto,55,0,3899.78,PRV_140,Urban,11,0,2353.56,0
CLM_10051,1605.97,Health,116,2,1303.95,PRV_111,Suburban,10,0,302.03,0
CLM_10052,9922.86,Health,64,0,5033.46,PRV_113,Urban,4,0,4889.4,0
CLM_10053,2936.65,Property,3,1,3485.9,PRV_145,Suburban,12,0,-549.25,0
CLM_10054,4949.57,Property,101,0,2599.74,PRV_114,Suburban,8,0,2349.83,1
CLM_10055,2963.24,Auto,51,0,4628.05,PRV_102,Rural,14,0,-1664.81,0
CLM_10056,6260.52,Auto,7,2,3103.53,PRV_114,Rural,2,0,3156.98,0
CLM_10057,5713.35,Property,21,0,3129.9,PRV_123,Urban,4,0,2583.45,0
CLM_10058,5018.87,Health,73,1,2785.3,PRV_145,Rural,11,0,2233.57,0
CLM_10059,9875.44,Property,39,1,4467.69,PRV_107,Rural,1,0,5407.75,0
CLM_10060,1827.71,Auto,18,1,2990.65,PRV_104,Rural,14,0,-1162.94,0
CLM_10061,4026.97,Health,4,1,2441.58,PRV_103,Suburban,1,0,1585.39,0
CLM_10062,6438.41,Property,89,0,3998.77,PRV_113,Rural,3,0,2439.64,0
CLM_10063,6899.6,Property,60,1,4182.96,PRV_115,Urban,2,0,2716.65,0
CLM_10064,13588.24,Auto,14,0,4606.61,PRV_119,Suburban,0,0,8981.63,0
CLM_10065,3082.0,Health,114,0,3633.6,PRV_123,Suburban,3,0,-551.59,0
CLM_10066,9229.9,Health,9,1,4146.27,PRV_105,Rural,24,0,5083.63,0
CLM_10067,4124.8,Auto,90,1,2740.75,PRV_130,Suburban,0,0,1384.05,0
CLM_10068,7163.17,Health,53,0,4025.8,PRV_105,Urban,0,0,3137.37,0
CLM_10069,9004.45,Health,2,1,3742.52,PRV_134,Urban,12,0,5261.93,0
CLM_10070,3154.25,Property,84,2,3530.46,PRV_114,Suburban,4,0,-376.21,0
CLM_10071,3475.83,Auto,92,0,1442.88,PRV_128,Rural,2,0,2032.96,0
CLM_10072,1765.14,Auto,111,0,2611.83,PRV_102,Rural,7,0,-846.68,0
CLM_10073,5046.73,Auto,60,1,2954.28,PRV_110,Suburban,3,0,2092.44,0
CLM_10074,8317.53,Auto,71,1,3531.6,PRV_102,Urban,4,0,4785.94,0
CLM_10075,5300.17,Auto,44,0,5400.74,PRV_127,Suburban,12,0,-100.57,0
CLM_10076,9367.5,Health,8,0,3859.24,PRV_109,Rural,1,0,5508.26,0
CLM_10077,2008.29,Auto,47,1,2189.99,PRV_149,Rural,32,0,-181.7,0
CLM_10078,6294.6,Property,35,1,2519.76,PRV_132,Suburban,0,0,3774.84,1
CLM_10079,7341.34,Property,78,0,4389.86,PRV_147,Urban,16,1,2951.48,0
CLM_10080,5475.42,Health,81,3,2475.78,PRV_115,Suburban,12,0,2999.64,0
CLM_10081,11226.32,Property,36,1,4018.7,PRV_109,Urban,3,1,7207.61,0
CLM_10082,4741.46,Health,50,0,3117.22,PRV_132,Urban,1,0,1624.24,0
CLM_10083,3067.08,Health,104,0,2833.61,PRV_135,Suburban,19,1,233.47,1
